,tmp,count,TF,batch
681,RXRA_0,188,RXRA,0
682,HOXD9_0,187,HOXD9,0
683,ZNF672_0,186,ZNF672,0
684,HOXC13_1,186,HOXC13,1
685,MBD1_0,185,MBD1,0
686,HOXB2_0,185,HOXB2,0
687,NFE2_0,185,NFE2,0
688,ZNF414_0,182,ZNF414,0
689,FOXD4L1_0,182,FOXD4L1,0
690,EZH1_1,181,EZH1,1
691,ZNF282_0,180,ZNF282,0
692,MTERF1_0,180,MTERF1,0
693,GTF2E1_0,178,GTF2E1,0
694,MAP3K7_0,178,MAP3K7,0
695,JUN_0,178,JUN,0
696,DR1_0,175,DR1,0
697,ZBTB44_0,175,ZBTB44,0
698,ELK4_0,174,ELK4,0
699,FOXS1_0,174,FOXS1,0
700,BHLHA9_1,173,BHLHA9,1
701,ZNF726_0,172,ZNF726,0
702,T_0,172,T,0
703,CREB5_0,172,CREB5,0
704,YY1_0,171,YY1,0
705,ZBTB18_0,170,ZBTB18,0
706,ZNF768_0,170,ZNF768,0
707,ELF3_0,170,ELF3,0
708,GTF2F1_0,169,GTF2F1,0
709,NR5A2_0,169,NR5A2,0
710,HNF1B_0,169,HNF1B,0
711,RELA_0,167,RELA,0
712,ZNF415_0,167,ZNF415,0
713,HLX_1,167,HLX,1
714,LHX5_0,167,LHX5,0
715,ETV3L_0,167,ETV3L,0
716,CDX4_0,166,CDX4,0
717,NR4A3_0,166,NR4A3,0
718,TGFB1I1_0,165,TGFB1I1,0
719,ZNF705B_0,164,ZNF705B,0
720,CDX1_0,164,CDX1,0
721,TULP3_0,164,TULP3,0
722,NFIL3_0,164,NFIL3,0
723,THAP5_0,163,THAP5,0
724,ZNF561_1,163,ZNF561,1
725,ZBTB22_0,163,ZBTB22,0
726,ZNF572_1,163,ZNF572,1
727,PAX9_0,162,PAX9,0
728,RNF2_0,162,RNF2,0
729,RORA_0,162,RORA,0
730,NEUROG1_0,161,NEUROG1,0
731,RCOR3_0,161,RCOR3,0
732,HOXD4_0,160,HOXD4,0
733,SMARCD1_0,160,SMARCD1,0
734,FOXL1_0,160,FOXL1,0
735,TFDP1_0,160,TFDP1,0
736,BHLHE40_0,159,BHLHE40,0
737,TP63_1,159,TP63,1
738,SMAD2_0,159,SMAD2,0
739,HOXC10_0,158,HOXC10,0
740,ZNF639_0,157,ZNF639,0
741,ASCL1_1,157,ASCL1,1
742,FUS_0,156,FUS,0
743,LMX1B_0,156,LMX1B,0
744,NKX6-1_0,156,NKX6-1,0
745,NHLH2_0,156,NHLH2,0
746,HNRNPK_0,156,HNRNPK,0
747,XRCC6_0,155,XRCC6,0
748,HKR1_0,155,HKR1,0
749,CREB3L1_0,155,CREB3L1,0
750,PATZ1_0,154,PATZ1,0
751,NR4A2_0,153,NR4A2,0
752,EGR2_0,153,EGR2,0
753,TFEB_0,152,TFEB,0
754,FOXM1_0,152,FOXM1,0
755,PURB_0,151,PURB,0
756,ISL2_0,151,ISL2,0
757,ASCL3_0,151,ASCL3,0
758,ZNF705D_0,150,ZNF705D,0
759,TAF4B_0,150,TAF4B,0
760,FOXD4L3_0,150,FOXD4L3,0
761,SP100_0,150,SP100,0
762,FLI1_0,150,FLI1,0
763,ZNF547_0,150,ZNF547,0
764,CERS6_0,147,CERS6,0
765,ZNF134_1,147,ZNF134,1
766,HMG20A_0,147,HMG20A,0
767,FOXO3_0,146,FOXO3,0
768,RELB_0,145,RELB,0
769,NFATC3_1,145,NFATC3,1
