,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27
ADGRL2,-0.00069985294,0.0049734367,0.005461419,0.01459487,-0.0025271266,-0.0036712987,0.0139468415,0.0006543148,-0.0013854433,-0.0064869137,0.004904797,-0.003162785,0.0074249166,0.0018035814,-0.008272342,0.00123287,0.00014078432,0.003602084,-0.028772173,0.009288863,0.0012337555,-0.0039376887,1.7004528e-05,-0.003387671,-0.0061755814,0.0028897508,-0.0005006045,0.025107773
ADGRL4,-0.008594663,0.0081324885,-0.00067192566,0.0034965598,0.007178881,-0.0018280551,-0.0060199173,0.05145251,-0.002550212,-0.025272701,0.016816795,-0.012740104,0.034637954,-0.0050180457,-0.0072801644,-0.0028683592,0.0073811803,0.005250659,0.0028863712,-0.016978424,0.010802514,-0.0053840657,-0.004813706,-0.0051353853,-0.010723057,-0.0036442354,-0.0071034166,-0.004131687
ADGRV1,0.0077232565,-0.005589301,0.0058958055,0.018180529,0.004559213,-0.0019064791,0.029021682,-0.009313017,-0.0021283727,0.009210285,0.009104052,0.00369242,0.002751462,-0.0013786318,-0.008760523,0.0034035323,-0.00029816374,0.002094632,-0.050100382,0.00017949546,0.0034239348,-0.007060192,0.0015992665,-0.0030698946,0.0020241858,0.0026787042,-0.0045407834,0.042765383
ADH1B,-0.00016042087,-0.0016870893,-0.0017937012,-0.0015455707,0.0034928469,0.002584819,-0.0014510237,-0.00055087544,0.00027969544,0.0023896578,0.001032151,0.0004082822,0.00045244343,-0.0007997884,0.0009136642,0.00013817751,-8.1398044e-05,-0.00066790933,0.0012000394,-0.0015019875,-0.00019912838,0.0012710177,-0.00016105369,0.0008309237,-0.0011874267,7.710655e-05,0.002062938,-0.00051828974
ADH1C,-0.00094200176,-2.147204e-05,-0.00011555256,-0.00045300683,0.00070500997,-0.0027747238,-0.001614324,0.0004185904,-0.00024881787,0.0011475384,0.0003722576,0.0003029774,-0.0018328791,-0.0010949848,0.0004286476,0.00015683121,-0.0013617759,0.0012168863,0.0013498013,-0.0019370699,-0.00032836956,0.0005106073,-0.0011596652,0.0015651723,-0.00081034325,0.00036547222,-0.0012615229,-0.00038119496
ADM2,-0.0010353469,-0.00044812507,-0.0006787067,0.0014901257,0.0011064708,0.0015357572,-0.0013016134,0.0007750172,-0.0007993809,0.0006880822,0.004004096,0.0018745112,-0.0002718649,-0.0021490562,-0.00078320364,0.00014984277,0.002470399,-0.0027326443,-0.0039156405,-0.0023073812,0.00032737272,0.002584328,0.0039588283,-0.00017715021,-0.0066685304,-0.002817253,0.0022067952,-0.00013552922
ADRB3,0.0027234678,0.0003013237,-7.1705486e-05,-0.0021984172,0.0006995697,0.0003990357,0.001972987,-0.00024143617,-0.0005325328,0.0007396835,5.033492e-05,0.00044363542,0.0009269849,0.00020455613,-0.00037099211,-0.0006445791,0.0011830811,8.0099715e-05,0.0014441645,-0.0007833351,-0.00076720054,-0.0019773084,-0.00018818193,-0.00038275507,-0.0006960737,-0.0003798044,-0.00030029993,0.000757904
ADTRP,-0.0005584321,0.0018100062,-0.00075384474,-0.00061995006,-0.00011019945,0.0013260527,-0.0012219795,-8.539817e-05,-0.00024621128,-0.0019707528,-0.0010803463,0.0015416255,0.0016868954,-0.00013092539,-0.0011348686,-0.0006641349,0.0010703723,0.00014572371,-0.00047790707,0.0005358687,-0.00023233707,-0.0013489859,-0.00076474075,0.0015376804,0.00015309232,-0.0007910431,0.0004700917,-0.0015534412
AFF2,0.0006603614,0.001226519,0.0032202094,0.007452874,-0.0005504886,-0.002206523,0.010421625,-0.00031775248,-0.0025311578,0.00061414955,0.0043116114,-0.002675451,0.0033695858,-0.002064412,-0.0039002737,0.0022314314,-0.0016019173,0.006207243,-0.015793094,0.0033307932,0.001630212,-0.0030383302,0.00054074376,-0.00022704678,-0.0037904547,0.0019285728,-0.0024605696,0.020021325
AFF3,-0.0048387344,0.008524471,0.00012013487,0.0026899634,-0.0007907029,-0.00064154685,-0.003472382,0.03521773,-0.002664572,-0.019054487,0.014477803,-0.0056842156,0.021842508,0.000784941,-0.016157402,0.0005477327,0.010390315,0.005672352,0.0030347374,0.0010366912,0.0014026866,-0.008629491,-0.0038565542,-0.003861939,-0.009931966,-0.0052886135,-0.0029735733,-0.00034393833
AGAP12P,-0.0017948134,-0.0013570732,-0.00012315798,0.0009045622,-6.3956184e-05,-0.00014745885,-0.00042010596,-0.0017933854,-0.00024228744,0.00089949137,0.00029052517,0.000908436,-0.0014590989,0.00035257702,0.0031300567,0.0017418626,-0.0020779248,0.0022665104,0.00094283564,0.00022849327,-5.63897e-05,0.0006630865,0.00017207647,-0.0012510283,0.0016798098,-0.0005560266,-0.0014042625,0.0028242297
AGAP2-AS1,0.0011928775,0.00039352058,-0.00021532323,0.00077139854,0.0017777177,0.00054770586,0.0012985357,-4.8937123e-05,0.0007689824,0.00020972743,0.002216395,-0.0008037257,-0.00020193907,0.00026677005,-0.000681996,0.00037794394,-0.000801664,-0.0022656338,-0.0012814117,-0.0006225974,-0.001162729,0.00015721374,0.0014448183,-0.00090288627,-0.002872915,0.0011978035,-0.0001315107,-0.002514585
AGBL4,-0.001791452,0.0014943733,0.0014189943,0.0069051175,1.4137701e-05,-0.0017281454,0.004326846,-0.0019993044,0.0013057911,-0.00147607,0.0033359365,-0.0019019877,-0.0008768891,-0.0012915158,0.0010821357,0.0014568153,-0.0032726845,0.00069509353,-0.009498223,0.002180857,0.0014733461,0.00403793,-0.00023107168,-0.00023294649,-0.0033727137,0.0012412297,0.0012445719,0.012634521
AGRN,0.00031882536,0.0034592424,0.002003292,0.0027762123,-0.0013424326,-0.0015781842,0.003819294,-0.00072549406,0.0005090329,-0.0038475157,-0.0002958349,0.0011129277,0.0014200272,-0.00039497987,-0.002898793,0.0013652956,-0.0010811101,-0.0003494627,-0.0053011505,0.0043246686,0.00036284854,0.00093111343,0.0003701506,-0.0015186309,-3.8130944e-05,0.0006652535,-0.003465318,0.0057679317
AGRP,0.00019233798,-0.0015311737,3.853355e-05,0.0002167632,0.00071017054,0.0010023371,0.00013054776,-0.0011617,-0.00011844604,-0.0003958958,-0.0009740481,0.00037569486,-2.265149e-06,-0.0009708721,0.0004572079,0.0008350501,-0.00064356736,0.0012408511,-0.0011879132,-0.00031191277,0.0004716888,0.0018718248,-0.0006276275,0.001008594,0.00044920365,-0.0011589483,-0.00023240356,0.0027824973
AGT,-0.0010495945,-9.605144e-05,0.0007226442,0.0012459059,-0.0014846466,0.0008252158,8.9864705e-05,-0.0037562544,-0.0012665652,-0.0013931316,-0.00050278386,0.0014419489,-0.0005387451,0.00040806836,-0.0015403883,0.00041591347,0.0002636847,0.0007665146,-0.0011778485,0.0018507607,-0.00028329322,-0.0014090895,0.0003242647,0.0004383637,0.00014330559,-0.00021878266,5.4807537e-05,-0.0013786654
AHDC1,-0.0013847044,0.0017829867,0.0015501402,0.005254442,-0.0036517035,-0.0022842055,0.0059863,0.0033494404,-0.002522682,-0.0060484735,0.0024341475,0.0015703797,0.005813357,-0.0011567576,-0.0028368605,0.0023670588,-0.00081089576,0.0061391024,-0.0046729995,0.007883594,0.0069246474,-0.0046796114,-0.0012419656,5.7771522e-05,-0.001607841,0.00050027756,0.0005903417,0.007760757
AHNAK,-0.007780816,0.015314646,0.0018518029,-0.0018778465,-0.0037822668,-0.004799229,-0.007830847,0.016313275,0.0028576693,-0.02545566,-0.00040277228,0.0018669112,0.011665262,0.006299338,-0.0025661495,0.0018547279,-0.0015605037,0.0014287897,0.009742463,0.015504168,0.008014094,-0.005969257,0.0016761582,-0.0054288344,-0.0010107626,0.0049603274,-0.0028000204,-0.00943239
AIG1,0.0023478547,-0.0015465802,0.00493374,0.014526807,0.0006499358,0.002249899,0.019306775,-0.006172583,0.00016838383,0.0003690547,0.0044614146,0.005635691,0.0018382879,-0.0020606697,-0.0042552133,0.004541371,-0.00028770723,0.005287856,-0.031415913,0.0021989518,0.0027236703,-0.0016148519,-0.002013971,-0.003892943,0.000322576,-0.0051440517,-0.0018754132,0.030571131
