,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35
SLC16A10,0.0013752719,0.003481832,-0.0074397475,-0.0027818917,0.0014876873,0.0127028795,-0.0027459054,-0.008959111,-0.0008827764,0.00032690063,0.00049088773,-0.001999106,0.0061886976,0.00079309,0.002577012,-0.0020358146,0.0020323715,-1.18407415e-05,-0.008308908,-0.00094645686,-0.002746216,0.0019104625,0.00087448745,-0.0057722414,0.0019739312,-0.00068207894,-0.0032923175,0.0037275695,-0.0037108348,-0.0010384113,0.017275825,-0.00715398,-0.00084329594,0.004486842,0.0005960076,-0.019391635
SLC16A2,0.0012526227,0.00073332584,-0.0038229583,0.002522486,0.00506953,0.0040723407,-0.0023243928,-0.0016027567,0.0003383704,0.0062030973,0.0049051857,-0.0053852783,0.0053790165,-0.0039242823,0.0042390614,0.003416741,0.0008454625,0.0033924873,-0.0014939908,-0.0048886263,-0.013352519,-0.0027395568,-0.000906068,0.0005255389,-0.0014987813,0.0015387246,0.0017465594,0.007373418,0.0036062796,0.0026265378,0.0026778062,-0.0039408356,-0.0013390789,0.0002848687,-0.00067396724,-0.0065780077
SLC1A3,0.0019749736,0.004203603,-0.0026336992,0.00023264877,0.0066148085,0.006797369,-0.0042679226,-0.0031776633,-0.0023349563,0.0015820484,-0.0029278055,0.00020613005,0.0045521418,-0.00031282968,0.0085472725,-0.0034024564,-0.0016278237,-0.0020560306,-0.00944156,0.00570598,-0.0048148567,-0.0060000606,-0.0007616419,0.001617876,-0.0019968727,0.00057223847,0.0008994439,0.004780686,0.0006581593,0.00095204066,0.009486472,-0.0068029216,-0.0013893103,0.00063878164,0.0010984793,-0.009441331
SLC22A23,0.00076881197,0.0017053827,-0.0014961237,-0.0008574483,-0.00073516945,0.00933371,-0.0050694323,-0.0055781,-0.001095967,-0.0039166943,-0.0052155885,0.00029006886,0.0005989395,0.0022095214,0.0054529854,-0.0020316532,0.0028425015,0.0001892997,-0.0010114086,0.0005879046,-0.0048110164,-0.0008011406,-0.00042703684,0.0047094636,-0.002886876,0.0004532,-0.0003985856,0.008178113,0.003565808,0.001076251,0.014728718,-0.0063808155,2.6896147e-05,0.00079943414,0.0044101193,-0.014343762
SLC22A25,-0.003112238,0.0017524656,0.0008423546,0.0018690184,-0.0006648621,-0.0021354232,-0.001970675,-0.00070252514,-6.886151e-05,0.0007722753,-0.00023617543,-0.00043232398,0.004108495,-0.0012683898,0.0028632479,-0.00034042922,-0.0010105962,-0.002860004,-0.00086763076,0.0010375733,0.00032956537,-0.003563915,0.00091243186,0.005315026,-0.0033307394,0.005041081,-0.0028913382,0.0034084131,-0.0014123005,-0.0009126258,0.0012190941,-0.004882976,0.0024816568,0.0018832217,-0.0037748462,-0.00073511945
SLC22A3,0.0012810542,-0.001391341,-0.00012940986,0.00038303627,0.0022218518,0.0039046565,-0.0010579677,-0.002559986,-0.001065459,-0.003588143,-0.0028249663,-0.0055165933,0.0049170167,-0.006461264,0.0031829271,-0.00030858198,0.00620581,0.0014791708,-0.0054441663,0.008458843,-0.0027016208,-0.0035744805,0.0005474823,0.003336357,0.00022108831,0.0021051557,-0.0010229357,0.0013548819,0.0033334265,0.00059940974,0.006562555,-0.004517948,-0.00048865785,-0.00034237752,0.0010510654,-0.010124932
SLC22A31,0.0017104106,0.0021109679,0.0008686845,0.00019552001,0.0021232772,0.00070439524,-0.00073947,0.00089440536,0.00039102312,-0.00054480805,0.0005774276,-0.00076860667,0.0005138584,0.0010837314,0.002042907,-0.0005882388,-0.0008637984,-0.00035140407,0.00034496808,0.00043735807,-0.0015577448,-0.0024271267,-0.00095387734,0.002851207,-0.002382716,0.0032288453,-6.0281363e-05,-0.002569775,0.0010088546,9.934786e-05,-0.0003378598,-0.0009655023,-0.0010642876,-0.00049423444,0.0013668654,-0.0008654639
SLC23A3,-0.0006066944,0.00028691255,-0.00038172587,0.0004088192,0.0018406733,-0.00031984525,0.0025852942,0.00025727207,0.00014546275,0.0010457189,-4.3761258e-05,0.00079753646,0.00092938356,0.00043284372,0.00090882834,0.0019472688,0.0017814772,0.0026197217,0.0027125159,-0.004238242,-0.0006953018,0.0036891392,0.0017615933,-0.00087307347,0.001990787,-0.004419181,0.0023688702,0.0055301837,0.0011016611,0.004021531,-0.0006335423,0.0027962273,0.0031014439,6.734716e-05,0.001064012,0.00029182594
SLC24A2,-0.00084227195,0.0035281787,-0.007365486,-0.0016858877,0.0023610005,0.011616764,-0.0046900706,-0.011795549,-0.0041081994,0.00201588,-0.002089479,0.00077730307,0.008928085,0.0009609341,0.007524151,-0.0026105691,0.0018709324,7.061353e-05,-0.007279156,0.0055095125,-0.009158796,-0.005199594,-0.0011489678,-0.0006784977,0.0041565504,0.0006310521,-0.0032042577,0.004770024,-0.0013489332,-0.0012355343,0.022352604,-0.008418183,-0.00088047923,0.003328663,0.0039695287,-0.025313782
SLC24A3,0.0010716084,0.004907785,-0.00663201,-0.00056847406,0.002552673,0.010091365,-0.0034982248,-0.0076277587,0.003682268,0.0018098181,-0.0017861999,-0.0027099308,0.007861843,-0.00710369,0.005447813,-0.001537027,-0.006215578,-0.0057883644,-0.00875725,0.0012551231,-0.006817595,-0.0022265767,-0.0041236654,-1.9703708e-05,0.0017412445,0.0017612589,0.0028980246,0.003984941,-0.0027282073,0.0016241315,0.019192655,-0.009398378,-0.0029241361,0.0010943505,0.0025935567,-0.015960375
